iter	Passed	Remaining
938	16749	18925
939	16768	18908
940	16787	18893
941	16806	18875
942	16824	18858
943	16842	18840
944	16861	18824
945	16880	18807
946	16897	18788
947	16914	18770
948	16930	18749
949	16947	18731
950	16965	18713
951	16986	18699
952	17003	18680
953	17021	18663
954	17037	18643
955	17055	18625
956	17073	18608
957	17091	18589
958	17111	18575
959	17130	18558
960	17150	18542
961	17166	18522
962	17182	18503
963	17202	18487
964	17222	18471
965	17244	18458
966	17263	18441
967	17281	18423
968	17300	18407
969	17316	18387
970	17331	18366
971	17349	18349
972	17367	18330
973	17386	18314
974	17405	18297
975	17425	18282
976	17445	18266
977	17467	18252
978	17487	18237
979	17505	18219
980	17525	18204
981	17546	18189
982	17565	18173
983	17585	18157
984	17604	18140
985	17626	18126
986	17644	18109
987	17665	18095
988	17689	18082
989	17707	18064
990	17726	18048
991	17747	18033
992	17769	18019
993	17789	18004
994	17810	17989
995	17830	17974
996	17849	17957
997	17867	17939
998	17886	17922
999	17908	17908
1000	17925	17889
1001	17947	17875
1002	17963	17856
1003	17980	17836
1004	17996	17817
1005	18016	17801
1006	18035	17784
1007	18054	17768
1008	18075	17753
1009	18094	17736
1010	18111	17717
1011	18133	17703
1012	18155	17689
1013	18173	17671
1014	18191	17654
1015	18211	17637
1016	18231	17621
1017	18252	17606
1018	18273	17592
1019	18292	17574
1020	18313	17559
1021	18333	17544
1022	18352	17527
1023	18378	17517
1024	18399	17501
1025	18417	17484
1026	18439	17469
1027	18457	17451
1028	18479	17438
1029	18498	17420
1030	18516	17402
1031	18534	17385
1032	18551	17366
1033	18569	17348
1034	18587	17330
1035	18610	17317
1036	18627	17298
1037	18644	17279
1038	18660	17259
1039	18678	17242
1040	18698	17225
1041	18715	17207
1042	18736	17191
1043	18753	17172
1044	18773	17157
1045	18789	17137
1046	18809	17120
1047	18827	17102
1048	18844	17084
1049	18862	17065
1050	18879	17047
1051	18901	17032
1052	18919	17014
1053	18936	16996
1054	18956	16979
1055	18974	16962
1056	18992	16944
1057	19013	16928
1058	19027	16907
1059	19045	16889
1060	19063	16871
1061	19082	16854
1062	19096	16833
1063	19112	16813
1064	19132	16797
1065	19149	16778
1066	19168	16760
1067	19187	16744
1068	19204	16725
1069	19221	16706
1070	19239	16688
1071	19255	16669
1072	19278	16655
1073	19297	16638
1074	19317	16621
1075	19334	16603
1076	19354	16587
1077	19373	16570
1078	19392	16552
1079	19412	16536
1080	19435	16522
1081	19453	16504
1082	19475	16489
1083	19495	16474
1084	19514	16456
1085	19536	16442
1086	19555	16425
1087	19576	16409
1088	19596	16393
1089	19612	16373
1090	19632	16357
1091	19650	16339
1092	19672	16324
1093	19693	16309
1094	19713	16293
1095	19734	16277
1096	19749	16256
1097	19765	16237
1098	19779	16216
1099	19798	16198
